number_sequence,sum,mean,sum_error_0,mean_error_0,sum_error_5,mean_error_5,sum_error_10,mean_error_10,saved_sum%_0,saved_mean%_0,saved_sum%_5,saved_mean%_5,saved_sum%_10,saved_mean%_10
61600,115.511727715,8.250837693928572,111.07982219083333,7.934273013630952,108.2017448875,7.728696063392857,108.7951049525,7.771078925178571,3.836758060706563,3.8367580607065697,6.328346889188426,6.328346889188424,5.8146673895068135,5.814667389506816
73600,116.64250044666667,8.331607174761904,110.2207919625,7.872913711607143,99.22417348,7.087440962857143,108.47984922500001,7.7485606589285725,5.505461953898115,5.50546195389811,14.93308776815101,14.933087768151001,6.998007750527377,6.998007750527364
123200,113.8898421575,8.134988725535715,105.4328953525,7.530921096607143,98.12987556,7.009276825714286,104.17296523249999,7.440926088035714,7.42554967571626,7.425549675716265,13.837903625948748,13.837903625948753,8.53182052141436,8.531820521414364
147000,105.17946294333333,7.512818781666667,101.490262095,7.249304435357144,100.01786903583334,7.144133502559525,112.6794436475,8.048531689107142,3.5075296498908046,3.5075296498907997,4.9074161086759505,4.907416108675947,0.0,0.0
246400,116.53148529583333,8.323677521130952,111.55733021500001,7.968380729642858,104.6262293775,7.473302098392857,113.4882646875,8.106304620535715,4.268507406565409,4.268507406565398,10.216342723264868,10.216342723264859,2.6115007464357283,2.6115007464357163
293800,117.71665998,8.408332855714287,95.706203105,6.836157364642857,111.250633895,7.9464738496428575,101.2945493025,7.235324950178572,18.697826525777717,18.69782652577772,5.492872534863434,5.4928725348634435,13.950540798804612,13.950540798804617
492800,121.10314447666667,8.650224605476192,111.3138750375,7.950991074107143,104.9349755775,7.495355398392857,113.9934846325,8.142391759464285,8.083414746553343,8.08341474655335,13.350742434505362,13.350742434505364,5.870747514352538,5.870747514352552
587600,103.8120781625,7.415148440178571,106.48838109,7.606312935,111.30208307,7.950148790714286,99.4052437575,7.100374554107143,0.0,0.0,0.0,0.0,4.245011257844058,4.245011257844058
985400,118.18837969,8.442027120714286,106.25982991000001,7.589987850714286,106.03283131916666,7.573773665654762,103.03050612583334,7.359321866130953,10.092827916998068,10.092827916998068,10.284892984163513,10.28489298416351,12.825180955965996,12.825180955965992
1175000,105.1682320365,7.512016574035714,100.528767015,7.180626215357143,112.91558546,8.065398961428572,105.57176224,7.54084016,4.411470014908889,4.4114700149088835,0.0,0.0,0.0,0.0
1970600,107.95849638,7.71132117,102.80853874,7.343467052857143,104.84508783000001,7.488934845000001,101.9472940275,7.281949573392858,4.770312492935071,4.7703124929350675,2.883893954062857,2.8838939540628505,5.568067872436214,5.5680678724362105
2349800,116.01927908500001,8.287091363214286,107.4330054725,7.673786105178571,114.4238838675,8.173134561964286,113.8387127525,8.131336625178571,7.40073001678401,7.400730016784002,1.3751121624632463,1.3751121624632312,1.8794861937578868,1.8794861937578808
3941000,111.82872532,7.987766094285715,101.8750423225,7.276788737321428,108.86699554,7.776213967142858,112.98648594,8.070463281428571,8.900828449056679,8.90082844905669,2.6484517028383836,2.6484517028383867,0.0,0.0
4699600,103.50965818,7.393547012857143,108.86279982750001,7.775914273392858,106.98844388,7.642031705714286,107.28312782,7.663080558571429,0.0,0.0,0.0,0.0,0.0,0.0
7881800,110.460071275,7.890005091071429,105.09541572500001,7.506815408928572,106.035839095,7.573988506785715,108.16518534250001,7.726084667321429,4.856646830006307,4.856646830006305,4.005277317797027,4.005277317797024,2.0775705700810887,2.0775705700810887
9399126,111.64200462,7.974428901428571,110.5508914325,7.896492245178571,99.8392827025,7.131377335892857,112.319128915,8.0227949225,0.9773321351706838,0.9773321351706885,10.571936573222018,10.571936573222022,0.0,0.0
11980568,108.74227828,7.767305591428571,112.73322159,8.052372970714286,108.04616117500001,7.717582941071429,113.87476114500001,8.133911510357143,0.0,0.0,0.6401531363979298,0.640153136397938,0.0,0.0
15763400,105.5002761975,7.535734014107143,98.5111135525,7.036508110892858,113.9829204625,8.141637175892857,106.8083895675,7.629170683392857,6.624781372056364,6.624781372056357,0.0,0.0,0.0,0.0
18798126,118.5922560675,8.470875433392857,94.85715918,6.775511369999999,107.15178489499999,7.653698921071428,111.3074402975,7.950531449821428,20.014036054757682,20.014036054757685,9.646895633715204,9.646895633715197,6.142741534366003,6.142741534366003
21027690,110.68951613499999,7.906394009642857,111.725852445,7.980418031785715,111.134229505,7.938159250357143,107.53463409749999,7.68104529267857,0.0,0.0,0.0,0.0,2.8502085361473806,2.8502085361473886
31526800,113.90662971,8.136187836428572,102.0546637125,7.289618836607143,117.0995523775,8.36425374125,112.59383438,8.042416741428571,10.40498347433723,10.404983474337241,0.0,0.0,1.1525188071513526,1.152518807151365
37596126,114.0905267175,8.149323336964285,104.10056656,7.435754754285715,110.66829905499999,7.904878503928571,106.34843608999999,7.596316863571428,8.75616972322003,8.756169723220017,2.99957214762782,2.999572147627809,6.785918910401935,6.785918910401922
59743740,123.02207512,8.78729108,104.879449075,7.491389219642857,103.9006894025,7.421477814464287,110.44689209250001,7.889063720892858,14.747455712564639,14.747455712564635,15.543052495942966,15.543052495942957,10.221891489989678,10.221891489989675
62168398,118.4774934125,8.462678100892857,103.6455512225,7.403253658750001,107.5313763175,7.6808125941071435,105.6141839525,7.5438702823214285,12.518784591736768,12.518784591736765,9.238984367173588,9.238984367173588,10.857175560943164,10.857175560943165
63053586,113.293287245,8.092377660357142,110.08708805250001,7.863363432321429,116.2706615275,8.305047251964286,107.7604746925,7.69717676375,2.829999261621296,2.829999261621289,0.0,0.0,4.883619044908758,4.883619044908747
75192126,113.3087804425,8.093484317321428,105.63492733749999,7.545351952678571,115.843949165,8.2745677975,105.10628079749999,7.5075914855357135,6.772514076165706,6.772514076165699,0.0,0.0,7.239067981287177,7.239067981287175
